unit,year,y_recyclingrate,treated
MERRIMAC,2008,.39637724,0
BEVERLY,2008,.38637722,0
SWAMPSCOTT,2008,.37637722,0
PEABODY,2008,.30637723,0
METHUEN,2008,.41637722,0
WHATELY,1997,.67609632,0
SHELBURNE,1997,.38609633,0
BUCKLAND,1997,.77609634,0
WENDELL,1997,.53609633,0
LEVERETT,1997,.67609632,0
NORTHFIELD,1997,.35609633,0
BERNARDSTON,1997,.62609631,0
ROWE,1997,.39609632,0
CONWAY,1997,.44609633,0
COLRAIN,1997,.61609632,0
DEERFIELD,1997,.22609633,0
ERVING,1997,.58609635,0
SUNDERLAND,1997,.50609636,0
GREENFIELD,1997,.37609634,0
GILL,1997,.60609633,0
MONTAGUE,1997,.61609632,0
ASHFIELD,1997,.42609632,0
ORANGE,1997,.60609633,0
WARWICK,1997,.26609632,0
CHARLEMONT,1997,.58609635,0
SHUTESBURY,1997,.34609634,0
HEATH,1997,.34609634,0
NEW SALEM,1997,.39609632,0
MONTAGUE,1998,.3681531,0
CHARLEMONT,1998,.52815312,0
GREENFIELD,1998,.41815311,0
WARWICK,1998,.49815309,0
ORANGE,1998,.75815308,0
SUNDERLAND,1998,.33815309,0
SHUTESBURY,1998,.46815309,0
CONWAY,1998,.4881531,0
LEVERETT,1998,.64815313,0
COLRAIN,1998,.66815311,0
HEATH,1998,.27815312,0
ASHFIELD,1998,.4581531,0
DEERFIELD,1998,.3681531,0
NORTHFIELD,1998,.44815311,0
NEW SALEM,1998,.46815309,0
GILL,1998,.55815309,0
BUCKLAND,1998,.43815309,0
ROWE,1998,.47815311,0
WENDELL,1998,.4881531,0
WHATELY,1998,.50815314,0
SHELBURNE,1998,.34815311,0
BERNARDSTON,1998,.49815309,0
ERVING,1998,.49815309,0
WHATELY,1999,.66997743,0
ASHFIELD,1999,.47997746,0
BERNARDSTON,1999,.6399774,0
NEW SALEM,1999,.49997744,0
ERVING,1999,.52997744,0
NORTHFIELD,1999,.49997744,0
WENDELL,1999,.46997744,0
DEERFIELD,1999,.68997741,0
SHUTESBURY,1999,.48997745,0
HEATH,1999,.38997746,0
SUNDERLAND,1999,.46997744,0
COLRAIN,1999,.60997742,0
CONWAY,1999,.42997745,0
ORANGE,1999,.36997744,0
WARWICK,1999,.48997745,0
GILL,1999,.59997743,0
LEVERETT,1999,.60997742,0
BUCKLAND,1999,.57997739,0
SHELBURNE,1999,.39997745,0
CHARLEMONT,1999,.49997744,0
MONTAGUE,1999,.42997745,0
ROWE,1999,.36997744,0
GREENFIELD,1999,.38997746,0
WHATELY,2000,.66508275,0
SUNDERLAND,2000,.49508271,0
NEW SALEM,2000,.52508271,0
GREENFIELD,2000,.42508271,0
BERNARDSTON,2000,.51508272,0
CHARLEMONT,2000,.4350827,0
CONWAY,2000,.44508269,0
COLRAIN,2000,.63508272,0
GILL,2000,.57508272,0
HEATH,2000,.3750827,0
