,Year,Recycling Rate,Municipality
3846,CY2003,26%,DUNSTABLE
3847,CY2002,47%,DUNSTABLE
3848,FY2001,46%,DUNSTABLE
3849,FY2000,47%,DUNSTABLE
3850,FY1999,31%,DUNSTABLE
3851,FY1998,48%,DUNSTABLE
3852,FY1997,45%,DUNSTABLE
3853,CY2008,40%,EGREMONT
3854,CY2007,46%,EGREMONT
3855,CY2006,48%,EGREMONT
3856,CY2005,47%,EGREMONT
3857,CY2004,48%,EGREMONT
3858,CY2003,44%,EGREMONT
3859,CY2002,41%,EGREMONT
3860,FY2001,41%,EGREMONT
3861,FY2000,39%,EGREMONT
3862,FY1999,39%,EGREMONT
3863,FY1998,37%,EGREMONT
3864,FY1997,31%,EGREMONT
3865,CY2008,62%,FOXBOROUGH
3866,CY2007,65%,FOXBOROUGH
3867,CY2006,65%,FOXBOROUGH
3868,CY2005,64%,FOXBOROUGH
3869,CY2004,59%,FOXBOROUGH
3870,CY2003,61%,FOXBOROUGH
3871,CY2002,65%,FOXBOROUGH
3872,FY2001,53%,FOXBOROUGH
3873,FY2000,50%,FOXBOROUGH
3874,FY1999,,FOXBOROUGH
3875,FY1998,24%,FOXBOROUGH
3876,FY1997,24%,FOXBOROUGH
3877,CY2008,50%,GOSHEN
3878,CY2007,53%,GOSHEN
3879,CY2006,52%,GOSHEN
3880,CY2005,62%,GOSHEN
3881,CY2004,54%,GOSHEN
3882,CY2003,51%,GOSHEN
3883,CY2002,65%,GOSHEN
3884,FY2001,55%,GOSHEN
3885,FY2000,47%,GOSHEN
3886,FY1999,49%,GOSHEN
3887,FY1998,48%,GOSHEN
3888,FY1997,51%,GOSHEN
3889,CY2008,,HADLEY
3890,CY2007,,HADLEY
3891,CY2006,,HADLEY
3892,CY2005,,HADLEY
3893,CY2004,,HADLEY
3894,CY2003,37%,HADLEY
3895,CY2002,,HADLEY
3896,FY2001,,HADLEY
3897,FY2000,,HADLEY
3898,FY1999,58%,HADLEY
3899,FY1998,55%,HADLEY
3900,FY1997,52%,HADLEY
3901,CY2008,41%,HARWICH
3902,CY2007,53%,HARWICH
3903,CY2006,50%,HARWICH
3904,CY2005,45%,HARWICH
3905,CY2004,48%,HARWICH
3906,CY2003,49%,HARWICH
3907,CY2002,48%,HARWICH
3908,FY2001,45%,HARWICH
3909,FY2000,58%,HARWICH
3910,FY1999,55%,HARWICH
3911,FY1998,50%,HARWICH
3912,FY1997,51%,HARWICH
3913,CY2008,,HOLLAND
3914,CY2007,,HOLLAND
3915,CY2006,,HOLLAND
3916,CY2005,,HOLLAND
3917,CY2004,,HOLLAND
3918,CY2003,,HOLLAND
3919,CY2002,53%,HOLLAND
3920,FY2001,,HOLLAND
3921,FY2000,,HOLLAND
3922,FY1999,,HOLLAND
3923,FY1998,,HOLLAND
3924,FY1997,7%,HOLLAND
3925,CY2008,47%,IPSWICH
3926,CY2007,53%,IPSWICH
3927,CY2006,46%,IPSWICH
3928,CY2005,36%,IPSWICH
3929,CY2004,43%,IPSWICH
3930,CY2003,36%,IPSWICH
3931,CY2002,33%,IPSWICH
3932,FY2001,41%,IPSWICH
3933,FY2000,47%,IPSWICH
3934,FY1999,41%,IPSWICH
3935,FY1998,46%,IPSWICH
3936,FY1997,36%,IPSWICH
3937,CY2008,20%,LEOMINSTER
3938,CY2007,13%,LEOMINSTER
3939,CY2006,15%,LEOMINSTER
3940,CY2005,23%,LEOMINSTER
3941,CY2004,18%,LEOMINSTER
3942,CY2003,14%,LEOMINSTER
3943,CY2002,17%,LEOMINSTER
3944,FY2001,23%,LEOMINSTER
3945,FY2000,34%,LEOMINSTER
3946,FY1999,20%,LEOMINSTER
3947,FY1998,30%,LEOMINSTER
3948,FY1997,23%,LEOMINSTER
3949,CY2008,37%,LUNENBURG
3950,CY2007,39%,LUNENBURG
3951,CY2006,39%,LUNENBURG
3952,CY2005,49%,LUNENBURG
3953,CY2004,46%,LUNENBURG
3954,CY2003,32%,LUNENBURG
3955,CY2002,,LUNENBURG
3956,FY2001,4%,LUNENBURG
3957,FY2000,,LUNENBURG
3958,FY1999,,LUNENBURG
3959,FY1998,,LUNENBURG
3960,FY1997,,LUNENBURG
3961,CY2008,46%,MARSHFIELD
3962,CY2007,39%,MARSHFIELD
3963,CY2006,29%,MARSHFIELD
3964,CY2005,27%,MARSHFIELD
3965,CY2004,27%,MARSHFIELD
3966,CY2003,18%,MARSHFIELD
3967,CY2002,18%,MARSHFIELD
3968,FY2001,14%,MARSHFIELD
3969,FY2000,16%,MARSHFIELD
3970,FY1999,16%,MARSHFIELD
3971,FY1998,19%,MARSHFIELD
3972,FY1997,18%,MARSHFIELD
3973,CY2008,27%,MERRIMAC
3974,CY2007,23%,MERRIMAC
3975,CY2006,25%,MERRIMAC
3976,CY2005,27%,MERRIMAC
3977,CY2004,26%,MERRIMAC
3978,CY2003,27%,MERRIMAC
3979,CY2002,31%,MERRIMAC
3980,FY2001,32%,MERRIMAC
3981,FY2000,22%,MERRIMAC
3982,FY1999,35%,MERRIMAC
3983,FY1998,37%,MERRIMAC
3984,FY1997,14%,MERRIMAC
3985,CY2008,55%,MILTON
3986,CY2007,49%,MILTON
3987,CY2006,52%,MILTON
3988,CY2005,50%,MILTON
3989,CY2004,55%,MILTON
3990,CY2003,52%,MILTON
3991,CY2002,53%,MILTON
3992,FY2001,52%,MILTON
3993,FY2000,50%,MILTON
3994,FY1999,49%,MILTON
3995,FY1998,44%,MILTON
3996,FY1997,47%,MILTON
3997,CY2008,43%,NATICK
3998,CY2007,47%,NATICK
3999,CY2006,45%,NATICK
4000,CY2005,41%,NATICK
4001,CY2004,36%,NATICK
4002,CY2003,42%,NATICK
4003,CY2002,,NATICK
4004,FY2001,30%,NATICK
4005,FY2000,35%,NATICK
4006,FY1999,32%,NATICK
4007,FY1998,31%,NATICK
4008,FY1997,34%,NATICK
4009,CY2008,29%,NEWTON
4010,CY2007,35%,NEWTON
4011,CY2006,38%,NEWTON
4012,CY2005,38%,NEWTON
4013,CY2004,36%,NEWTON
4014,CY2003,35%,NEWTON
4015,CY2002,37%,NEWTON
4016,FY2001,46%,NEWTON
4017,FY2000,47%,NEWTON
4018,FY1999,44%,NEWTON
4019,FY1998,44%,NEWTON
4020,FY1997,44%,NEWTON
4021,CY2008,29%,NORTHBRIDGE
4022,CY2007,23%,NORTHBRIDGE
4023,CY2006,23%,NORTHBRIDGE
4024,CY2005,21%,NORTHBRIDGE
4025,CY2004,20%,NORTHBRIDGE
4026,CY2003,17%,NORTHBRIDGE
4027,CY2002,20%,NORTHBRIDGE
4028,FY2001,20%,NORTHBRIDGE
4029,FY2000,23%,NORTHBRIDGE
4030,FY1999,20%,NORTHBRIDGE
4031,FY1998,20%,NORTHBRIDGE
4032,FY1997,16%,NORTHBRIDGE
4033,CY2008,25%,OTIS
4034,CY2007,26%,OTIS
4035,CY2006,28%,OTIS
4036,CY2005,41%,OTIS
4037,CY2004,27%,OTIS
4038,CY2003,34%,OTIS
4039,CY2002,31%,OTIS
4040,FY2001,26%,OTIS
4041,FY2000,21%,OTIS
4042,FY1999,35%,OTIS
4043,FY1998,35%,OTIS
4044,FY1997,30%,OTIS
4045,CY2008,38%,PETERSHAM
4046,CY2007,21%,PETERSHAM
4047,CY2006,32%,PETERSHAM
4048,CY2005,10%,PETERSHAM
4049,CY2004,17%,PETERSHAM
4050,CY2003,26%,PETERSHAM
4051,CY2002,,PETERSHAM
4052,FY2001,,PETERSHAM
4053,FY2000,,PETERSHAM
4054,FY1999,30%,PETERSHAM
4055,FY1998,18%,PETERSHAM
4056,FY1997,11%,PETERSHAM
4057,CY2008,17%,QUINCY
4058,CY2007,21%,QUINCY
4059,CY2006,30%,QUINCY
4060,CY2005,26%,QUINCY
4061,CY2004,35%,QUINCY
4062,CY2003,22%,QUINCY
4063,CY2002,27%,QUINCY
4064,FY2001,27%,QUINCY
4065,FY2000,23%,QUINCY
4066,FY1999,20%,QUINCY
4067,FY1998,16%,QUINCY
4068,FY1997,26%,QUINCY
4069,CY2008,44%,ROCKPORT
4070,CY2007,39%,ROCKPORT
4071,CY2006,37%,ROCKPORT
4072,CY2005,37%,ROCKPORT
4073,CY2004,38%,ROCKPORT
4074,CY2003,37%,ROCKPORT
4075,CY2002,49%,ROCKPORT
4076,FY2001,47%,ROCKPORT
4077,FY2000,52%,ROCKPORT
4078,FY1999,54%,ROCKPORT
4079,FY1998,55%,ROCKPORT
4080,FY1997,54%,ROCKPORT
4081,CY2008,28%,SANDWICH
4082,CY2007,23%,SANDWICH
4083,CY2006,22%,SANDWICH
4084,CY2005,20%,SANDWICH
4085,CY2004,21%,SANDWICH
4086,CY2003,18%,SANDWICH
4087,CY2002,22%,SANDWICH
4088,FY2001,43%,SANDWICH
4089,FY2000,26%,SANDWICH
4090,FY1999,38%,SANDWICH
4091,FY1998,37%,SANDWICH
4092,FY1997,38%,SANDWICH
4093,CY2008,8%,SHIRLEY
4094,CY2007,14%,SHIRLEY
4095,CY2006,,SHIRLEY
4096,CY2005,,SHIRLEY
4097,CY2004,,SHIRLEY
4098,CY2003,,SHIRLEY
4099,CY2002,,SHIRLEY
4100,FY2001,33%,SHIRLEY
4101,FY2000,20%,SHIRLEY
4102,FY1999,16%,SHIRLEY
4103,FY1998,16%,SHIRLEY
4104,FY1997,16%,SHIRLEY
4105,CY2008,46%,SOUTHWICK
4106,CY2007,36%,SOUTHWICK
4107,CY2006,36%,SOUTHWICK
4108,CY2005,30%,SOUTHWICK
4109,CY2004,34%,SOUTHWICK
4110,CY2003,30%,SOUTHWICK
4111,CY2002,46%,SOUTHWICK
4112,FY2001,,SOUTHWICK
4113,FY2000,43%,SOUTHWICK
4114,FY1999,40%,SOUTHWICK
4115,FY1998,52%,SOUTHWICK
4116,FY1997,49%,SOUTHWICK
4117,CY2008,45%,SUDBURY
4118,CY2007,39%,SUDBURY
4119,CY2006,35%,SUDBURY
4120,CY2005,38%,SUDBURY
4121,CY2004,39%,SUDBURY
4122,CY2003,27%,SUDBURY
4123,CY2002,18%,SUDBURY
4124,FY2001,28%,SUDBURY
4125,FY2000,21%,SUDBURY
4126,FY1999,21%,SUDBURY
4127,FY1998,21%,SUDBURY
4128,FY1997,20%,SUDBURY
4129,CY2008,12%,TOLLAND
4130,CY2007,15%,TOLLAND
4131,CY2006,13%,TOLLAND
4132,CY2005,,TOLLAND
4133,CY2004,,TOLLAND
4134,CY2003,32%,TOLLAND
4135,CY2002,18%,TOLLAND
4136,FY2001,,TOLLAND
4137,FY2000,12%,TOLLAND
4138,FY1999,9%,TOLLAND
4139,FY1998,18%,TOLLAND
4140,FY1997,15%,TOLLAND
4141,CY2008,25%,WALES
4142,CY2007,22%,WALES
4143,CY2006,21%,WALES
4144,CY2005,37%,WALES
4145,CY2004,40%,WALES
4146,CY2003,31%,WALES
4147,CY2002,27%,WALES
4148,FY2001,,WALES
4149,FY2000,,WALES
4150,FY1999,,WALES
4151,FY1998,,WALES
4152,FY1997,37%,WALES
4153,CY2008,,WAYLAND
4154,CY2007,52%,WAYLAND
4155,CY2006,43%,WAYLAND
4156,CY2005,42%,WAYLAND
4157,CY2004,39%,WAYLAND
4158,CY2003,36%,WAYLAND
4159,CY2002,52%,WAYLAND
4160,FY2001,58%,WAYLAND
4161,FY2000,57%,WAYLAND
4162,FY1999,60%,WAYLAND
4163,FY1998,63%,WAYLAND
4164,FY1997,71%,WAYLAND
4165,CY2008,27%,WEST NEWBURY
4166,CY2007,30%,WEST NEWBURY
4167,CY2006,25%,WEST NEWBURY
4168,CY2005,18%,WEST NEWBURY
4169,CY2004,32%,WEST NEWBURY
4170,CY2003,30%,WEST NEWBURY
4171,CY2002,28%,WEST NEWBURY
4172,FY2001,18%,WEST NEWBURY
4173,FY2000,25%,WEST NEWBURY
4174,FY1999,30%,WEST NEWBURY
4175,FY1998,19%,WEST NEWBURY
4176,FY1997,20%,WEST NEWBURY
4177,CY2008,28%,WESTON
4178,CY2007,28%,WESTON
4179,CY2006,24%,WESTON
4180,CY2005,32%,WESTON
4181,CY2004,24%,WESTON
4182,CY2003,22%,WESTON
4183,CY2002,32%,WESTON
4184,FY2001,,WESTON
4185,FY2000,,WESTON
4186,FY1999,51%,WESTON
4187,FY1998,52%,WESTON
4188,FY1997,37%,WESTON
4189,CY2008,34%,WILMINGTON
4190,CY2007,21%,WILMINGTON
4191,CY2006,21%,WILMINGTON
4192,CY2005,24%,WILMINGTON
4193,CY2004,31%,WILMINGTON
4194,CY2003,31%,WILMINGTON
4195,CY2002,31%,WILMINGTON
4196,FY2001,31%,WILMINGTON
4197,FY2000,23%,WILMINGTON
4198,FY1999,30%,WILMINGTON
4199,FY1998,21%,WILMINGTON
4200,FY1997,20%,WILMINGTON
4201,CY2008,36%,YARMOUTH
4202,CY2007,42%,YARMOUTH
4203,CY2006,39%,YARMOUTH
4204,CY2005,40%,YARMOUTH
4205,CY2004,31%,YARMOUTH
4206,CY2003,44%,YARMOUTH
4207,CY2002,60%,YARMOUTH
4208,FY2001,59%,YARMOUTH
4209,FY2000,57%,YARMOUTH
4210,FY1999,30%,YARMOUTH
4211,FY1998,34%,YARMOUTH
4212,FY1997,21%,YARMOUTH
