unit,year,y_recyclingrate,treated
WAKEFIELD,2000,.44999999,0
LOWELL,2000,.13,0
FRAMINGHAM,2000,.33000001,0
CAMBRIDGE,2000,.33000001,0
LINCOLN,2000,.34999999,0
WALTHAM,2001,.2,0
CHELMSFORD,2001,.28999999,0
DRACUT,2001,.15000001,0
WILMINGTON,2001,.31,0
SUDBURY,2001,.28,0
WATERTOWN,2001,.20999999,0
DUNSTABLE,2001,.46000001,0
BILLERICA,2001,.15000001,0
CAMBRIDGE,2001,.33000001,0
WAKEFIELD,2001,.38,0
BELMONT,2001,.47,0
AYER,2001,.20999999,0
CONCORD,2001,.58999997,0
TYNGSBOROUGH,2001,.2,0
HOPKINTON,2001,.31999999,0
MAYNARD,2001,.38999999,0
WINCHESTER,2001,.33000001,0
STONEHAM,2001,.36000001,0
READING,2001,.55000001,0
FRAMINGHAM,2001,.34999999,0
MEDFORD,2001,.14,0
ASHLAND,2001,.23,0
LOWELL,2001,.12,0
GROTON,2001,.38,0
CARLISLE,2001,.27000001,0
WESTFORD,2001,.33000001,0
MELROSE,2001,.36000001,0
TEWKSBURY,2001,.12,0
LINCOLN,2001,.31,0
SHERBORN,2001,.36000001,0
ARLINGTON,2001,.41,0
MARLBOROUGH,2001,.67000002,0
NEWTON,2001,.46000001,0
TOWNSEND,2001,.19,0
SOMERVILLE,2001,.23999999,0
AYER,2002,.61000001,0
CARLISLE,2002,.33000001,0
MAYNARD,2002,.40000001,0
TOWNSEND,2002,.17,0
CAMBRIDGE,2002,.31,0
BELMONT,2002,.27000001,0
CHELMSFORD,2002,.28999999,0
SHERBORN,2002,.38999999,0
LOWELL,2002,.1,0
LINCOLN,2002,.52999997,0
FRAMINGHAM,2002,.25999999,0
WESTFORD,2002,.34,0
WALTHAM,2002,.18000001,0
HOPKINTON,2002,.31999999,0
BILLERICA,2002,.15000001,0
CONCORD,2002,.57999998,0
WATERTOWN,2002,.23,0
WILMINGTON,2002,.31,0
MARLBOROUGH,2002,.16,0
STONEHAM,2002,.15000001,0
GROTON,2002,.38999999,0
READING,2002,.36000001,0
SOMERVILLE,2002,.23,0
ASHLAND,2002,.22,0
WAKEFIELD,2002,.37,0
ARLINGTON,2002,.31999999,0
SUDBURY,2002,.18000001,0
WINCHESTER,2002,.28,0
NEWTON,2002,.37,0
DRACUT,2002,.15000001,0
TEWKSBURY,2002,.12,0
MELROSE,2002,.38,0
DUNSTABLE,2002,.47,0
MEDFORD,2002,.13,0
TYNGSBOROUGH,2002,.12,0
BROOKLINE,1997,.38,0
NORFOLK,1997,.52999997,0
HOLBROOK,1997,.31999999,0
COHASSET,1997,.33000001,0
WRENTHAM,1997,.38999999,0
RANDOLPH,1997,.2,0
FRANKLIN,1997,.31999999,0
PLAINVILLE,1997,.2,0
